id,bank,cheque_no,amt,cheque_date,deposit_date,entry_date,party_id
1,KVB 650,530916,27751,2025-06-17,2025-06-23,2025-06-23,P130
2,SBI,467427,5138,2025-07-10,2025-07-10,2025-07-10,P25
3,KVB 650,049540,2707,2025-07-14,2025-07-14,2025-07-14,P2
4,KVB 650,014217,3522,2025-07-14,2025-07-14,2025-07-14,P88
6,PGB,530937,17227,2025-07-07,2025-07-16,2025-07-16,P130
5,IOB,916103,5488,2025-07-17,2025-07-18,2025-07-16,P100
7,SBI,467464,24908,2025-07-20,2025-07-21,2025-07-21,P25
8,UNION BANK,025084,24133,2025-07-20,2025-07-21,2025-07-21,P143
9,HDFC,006368,2126,2025-07-22,2025-07-22,2025-07-22,P103
10,HDFC,098364,3632,2025-07-19,2025-07-22,2025-07-22,P35
11,IOB,000022,3884,2025-07-23,2025-07-24,2025-07-24,P187
12,UNION BANK,025112,24133,2025-07-20,2025-07-25,2025-07-25,P143
13,KVB 650,014352,1673,2025-07-25,2025-07-25,2025-07-25,P88
14,KVB 650,014458,2506,2025-07-29,2025-07-30,2025-07-29,P88
15,HDFC,007015,1031,2025-07-29,2025-07-30,2025-07-29,P102
16,HDFC,007291,1119,2025-08-05,2025-08-05,2025-08-05,P180
17,SBI,467494,6556,2025-08-05,2025-08-05,2025-08-05,P25
18,PGB,530952,10581,2025-07-24,2025-08-05,2025-08-05,P130
19,KVB 650,007280,4939,2025-08-08,2025-08-08,2025-08-08,P36
20,CUB,005860,5905,2025-08-09,2025-08-11,2025-08-11,P74
21,SBI,471887,1724,2025-08-09,2025-08-11,2025-08-11,P25
22,CANARA,664486,2060,2025-08-09,2025-08-11,2025-08-11,P89
23,KVB 650,000150,86608,2025-08-11,2025-08-12,2025-08-12,P29
24,KVB 650,014527,2008,2025-08-12,2025-08-12,2025-08-12,P88
25,UNION BANK,025120,3603,2025-08-14,2025-08-14,2025-08-14,P143
26,CUB,007804,1263,2025-08-11,2025-08-18,2025-08-18,P97
27,IOB,000027,3261,2025-08-14,2025-08-18,2025-08-18,P187
28,PGB,633672,12297,2025-08-11,2025-08-19,2025-08-19,P130
29,KVB 650,000404,41070,2025-08-20,2025-08-21,2025-08-21,P29
30,KVB 650,014623,3237,2025-08-21,2025-08-26,2025-08-26,P88
31,SBI,471939,7830,2025-08-27,2025-08-28,2025-08-28,P25
32,KVB 650,007509,11008,2025-08-27,2025-08-28,2025-08-28,P36
33,UNION BANK,025139,22131,2025-08-31,2025-09-01,2025-09-01,P143
34,SBI,469953,5590,2025-08-30,2025-09-01,2025-09-01,P35
35,IOB,508411,1568,2025-09-01,2025-09-08,2025-09-04,P97
36,IOB,000030,5919,2025-09-04,2025-09-08,2025-09-04,P187
37,KOTAK,001265,2125,2025-09-08,2025-09-08,2025-09-08,P79
38,INDIAN BANK,119538,2499,2025-09-06,2025-09-08,2025-09-08,P93
39,PGB,633686,19485,2025-08-29,2025-09-09,2025-09-09,P130
47,IOB,000034,1818,2025-09-18,2025-09-19,2025-09-19,P187
40,ICICI,003569,1724,2025-08-24,2025-09-10,2025-09-10,P71
41,UNION BANK,027953,12068,2025-09-10,2025-09-10,2025-09-10,P143
42,KVB 650,000364,131197,2025-09-15,2025-09-15,2025-09-15,P29
43,KVB 650,000363,1379,2025-09-15,2025-09-15,2025-09-15,P29
44,KVB 650,004199,296113,2025-09-10,2025-09-15,2025-09-15,P175
45,SBI,262390,1636,2025-09-17,2025-09-17,2025-09-17,P35
46,KVB 650,014966,2409,2025-09-17,2025-09-17,2025-09-17,P88
48,SBI,479549,10726,2025-09-24,2025-09-24,2025-09-24,P25
49,SBI,079951,1012,2025-10-02,2025-10-03,2025-10-03,P27
50,SBI,921337,4647,2025-10-02,2025-10-03,2025-10-03,P35
51,IOB,000039,6103,2025-10-03,2025-10-03,2025-10-03,P187
